placement,size,latency_us
same_numa,1,0.13
same_numa,2,0.14
same_numa,4,0.14
same_numa,8,0.14
same_numa,16,0.14
same_numa,32,0.15
same_numa,64,0.15
same_numa,128,0.14
same_numa,256,0.15
same_numa,512,0.16
same_numa,1024,0.16
same_numa,2048,0.19
same_numa,4096,0.21
same_numa,8192,0.34
diff_numa_same_socket,1,0.13
diff_numa_same_socket,2,0.14
diff_numa_same_socket,4,0.14
diff_numa_same_socket,8,0.14
diff_numa_same_socket,16,0.14
diff_numa_same_socket,32,0.14
diff_numa_same_socket,64,0.14
diff_numa_same_socket,128,0.14
diff_numa_same_socket,256,0.14
diff_numa_same_socket,512,0.15
diff_numa_same_socket,1024,0.16
diff_numa_same_socket,2048,0.18
diff_numa_same_socket,4096,0.21
diff_numa_same_socket,8192,0.32
diff_socket_same_node,1,0.14
diff_socket_same_node,2,0.14
diff_socket_same_node,4,0.14
diff_socket_same_node,8,0.14
diff_socket_same_node,16,0.14
diff_socket_same_node,32,0.14
diff_socket_same_node,64,0.14
diff_socket_same_node,128,0.14
diff_socket_same_node,256,0.15
diff_socket_same_node,512,0.15
diff_socket_same_node,1024,0.16
diff_socket_same_node,2048,0.19
diff_socket_same_node,4096,0.24
diff_socket_same_node,8192,0.35
inter_node,1,1.60
inter_node,2,1.62
inter_node,4,1.59
inter_node,8,1.60
inter_node,16,1.60
inter_node,32,1.64
inter_node,64,1.62
inter_node,128,1.81
inter_node,256,1.78
inter_node,512,1.89
inter_node,1024,1.97
inter_node,2048,2.32
inter_node,4096,2.82
inter_node,8192,3.17
